493782,164
572059,43
608827,98
626932,101
642200,100
754844,197
783600,134
902195,229
1048319,83
1211537,142
1235786,171
1274923,194
1293953,260
1711263,254
1808344,411
1819046,521
1998257,395
2233169,296
2673400,704
2688418,461
2844658,900
2926324,390
3405565,291
3421399,456
3450654,774
4012012,1046
4041769,964
4301261,665
4447100,1154
4468976,904
4919479,567
5130632,1150
5296486,643
5363675,792
5595211,1130
5689283,1288
5894121,563
6080485,947
6349097,476
7078515,925
8049313,1557
8186453,1634
8414350,731
9938444,1159
11353140,1286
12281054,1490
12419293,1356
15982378,3244
18976457,1493
20851820,3583
33871648,4120
